Child Product,CPG,Month,Shipment in Child Cases,PPG,Parent Prod, Shipment in parent Prod Cases ,Inventory_Parent_Cases
S23,C5,201802,538,P14,S23,538,0
S22,C3,201802,278,P14,S22,278,8
S23,C3,201802,83,P14,S23,83,3
S22,C2,201802,46,P14,S22,46,9
S23,C2,201802,32,P14,S23,32,1
S22,C1,201802,35,P14,S22,35,25
S23,C1,201802,39,P14,S23,39,2
S24,C3,201802,8,P15,S63,8,2
S24,C2,201802,3,P15,S63,3,0
S1,C1,201802,2,P1,S1,2,0
S4,C1,201802,547,P3,S4,547,2
S5,C1,201802,573,P4,S52,430,2
S6,C1,201802,195,P5,S6,195,1
S7,C1,201802,71,P6,S7,71,0
S9,C1,201802,14,P8,S9,14,2
S25,C1,201802,542,P16,S57,542,1
S26,C1,201802,"1,070",P17,S31,892,2
S27,C1,201802,858,P17,S32,715,6
S28,C1,201802,"3,951",P15,S63,"3,951",20
S1,C2,201802,1,P1,S1,1,1
S6,C2,201802,300,P5,S6,300,5
S9,C2,201802,57,P8,S9,57,1
S10,C2,201802,61,P9,S10,61,1
S3,C2,201802,16,P2,S3,16,1
S7,C2,201802,197,P6,S7,197,4
S29,C2,201802,21,P18,S29,21,1
S30,C2,201802,14,P19,S30,14,2
S2,C2,201802,81,P1,S1,61,0
S31,C2,201802,8,P17,S31,8,1
S1,C3,201802,34,P1,S1,34,1
S2,C3,201802,62,P1,S1,46,1
S2,C1,201802,15,P1,S1,11,1
S3,C3,201802,45,P2,S3,45,3
S3,C1,201802,9,P2,S3,9,0
S4,C3,201802,229,P3,S4,229,1
S5,C3,201802,138,P4,S52,104,0
S5,C2,201802,374,P4,S52,281,3
S6,C3,201802,62,P5,S6,62,7
S7,C3,201802,195,P6,S7,195,2
S9,C3,201802,72,P8,S9,72,1
S10,C3,201802,126,P9,S10,126,3
S10,C1,201802,33,P9,S10,33,0
S32,C3,201802,-1,P17,S32,-1,1
S31,C3,201802,3,P17,S31,3,3
S26,C3,201802,"1,388",P17,S31,"1,157",22
S26,C2,201802,"1,078",P17,S31,898,13
S31,C1,201802,63,P17,S31,63,3
S27,C3,201802,667,P17,S32,556,22
S27,C2,201802,"1,002",P17,S32,835,1
S29,C3,201802,24,P18,S29,24,0
S29,C1,201802,5,P18,S29,5,2
S28,C3,201802,177,P15,S63,177,1
S25,C3,201802,2,P16,S57,2,1
S33,C3,201802,"1,043",P15,S62,"1,043",12
S28,C2,201802,847,P15,S63,847,4
S25,C2,201802,8,P16,S57,8,1
S35,C3,201802,"1,285",P5,S6,"1,285",20
S36,C3,201802,330,P13,S20,165,56
S34,C3,201802,29,P19,S30,29,5
S34,C2,201802,1,P19,S30,1,0
S34,C1,201802,25,P19,S30,25,1
S1,C5,201803,60,P1,S1,60,0
S3,C5,201803,10,P2,S3,10,0
S4,C2,201803,430,P3,S4,430,4
S4,C5,201803,"11,100",P3,S4,"11,100",0
S5,C5,201803,307,P4,S52,230,0
S6,C5,201803,164,P5,S6,164,0
S7,C5,201803,7,P6,S7,7,0
S8,C3,201803,165,P7,S8,165,1
S8,C5,201803,520,P7,S8,520,0
S8,C2,201803,167,P7,S8,167,3
S9,C5,201803,155,P8,S9,155,0
S10,C5,201803,100,P9,S10,100,0
S8,C1,201803,34,P7,S8,34,0
S11,C3,201803,19,P10,S11,19,1
S11,C5,201803,60,P10,S11,60,0
S11,C2,201803,6,P10,S11,6,0
S11,C1,201803,4,P10,S11,4,1
S12,C1,201803,"9,170",P11,S66,"9,170",35
S12,C2,201803,"1,769",P11,S66,"1,769",6
S13,C1,201803,"3,772",P12,S68,"3,772",7
S13,C2,201803,"2,408",P12,S68,"2,408",32
S14,C2,201803,421,P12,S68,421,5
S12,C3,201803,"1,006",P11,S66,"1,006",1
S13,C3,201803,51,P12,S68,51,9
S17,C2,201803,"5,524",P11,S66,"5,524",17
S17,C1,201803,528,P11,S66,528,1
S18,C2,201803,223,P12,S68,223,0
S20,C5,201803,45,P13,S20,45,0
S18,C1,201803,"3,521",P12,S68,"3,521",4
S18,C3,201803,45,P12,S68,45,1
S19,C3,201803,446,P11,S66,446,11
S14,C1,201803,"15,309",P12,S68,"15,309",8
S20,C1,201803,1,P13,S20,1,1
S20,C3,201803,27,P13,S20,27,2
S21,C3,201803,4,P13,S21,4,5
S21,C2,201803,1,P13,S21,1,3
S22,C5,201803,361,P14,S22,361,0
S23,C5,201803,348,P14,S23,348,0
S22,C3,201803,120,P14,S22,120,2
S23,C3,201803,88,P14,S23,88,7
S22,C2,201803,37,P14,S22,37,9
S23,C2,201803,39,P14,S23,39,1
S22,C1,201803,16,P14,S22,16,23
S23,C1,201803,8,P14,S23,8,1
S24,C3,201803,690,P15,S63,690,21
S24,C1,201803,861,P15,S63,861,1
S1,C1,201803,28,P1,S1,28,2
S4,C1,201803,509,P3,S4,509,3
S5,C1,201803,639,P4,S52,479,1
S6,C1,201803,139,P5,S6,139,0
S7,C1,201803,28,P6,S7,28,1
S9,C1,201803,10,P8,S9,10,3
S25,C1,201803,"2,123",P16,S57,"2,123",9
S26,C1,201803,900,P17,S31,750,2
S27,C1,201803,852,P17,S32,710,8
S28,C1,201803,"3,137",P15,S63,"3,137",9
S1,C2,201803,56,P1,S1,56,1
S6,C2,201803,271,P5,S6,271,6
S9,C2,201803,51,P8,S9,51,1
S10,C2,201803,67,P9,S10,67,1
S3,C2,201803,15,P2,S3,15,1
S7,C2,201803,139,P6,S7,139,3
S29,C2,201803,10,P18,S29,10,0
S30,C2,201803,12,P19,S30,12,0
S2,C2,201803,22,P1,S1,17,0
S31,C2,201803,10,P17,S31,10,1
S1,C3,201803,94,P1,S1,94,1
S3,C3,201803,29,P2,S3,29,4
S3,C1,201803,3,P2,S3,3,1
S4,C3,201803,224,P3,S4,224,4
S5,C3,201803,188,P4,S52,141,1
S5,C2,201803,411,P4,S52,308,2
S7,C3,201803,68,P6,S7,68,1
S9,C3,201803,83,P8,S9,83,1
S10,C3,201803,109,P9,S10,109,0
S10,C1,201803,9,P9,S10,9,0
S32,C3,201803,1,P17,S32,1,1
S31,C3,201803,0,P17,S31,0,4
S26,C3,201803,932,P17,S31,777,11
S26,C2,201803,841,P17,S31,701,8
S31,C1,201803,17,P17,S31,17,4
S27,C3,201803,542,P17,S32,452,16
S27,C2,201803,986,P17,S32,822,9
S30,C1,201803,2,P19,S30,2,0
S29,C3,201803,21,P18,S29,21,0
S29,C1,201803,2,P18,S29,2,2
S25,C3,201803,2,P16,S57,2,0
S33,C3,201803,671,P15,S62,671,1
S28,C2,201803,987,P15,S63,987,7
S25,C2,201803,126,P16,S57,126,1
S35,C3,201803,800,P5,S6,800,7
S36,C3,201803,333,P13,S20,167,5
S37,C3,201803,232,P13,S21,116,4
S34,C3,201803,41,P19,S30,41,1
S1,C5,201804,277,P1,S1,277,0
S3,C5,201804,106,P2,S3,106,0
S4,C2,201804,385,P3,S4,385,4
S4,C5,201804,"1,956",P3,S4,"1,956",0
S5,C5,201804,415,P4,S52,311,0
S6,C5,201804,239,P5,S6,239,0
S7,C5,201804,15,P6,S7,15,0
S8,C3,201804,246,P7,S8,246,1
S8,C5,201804,168,P7,S8,168,0
S8,C2,201804,58,P7,S8,58,2
S9,C5,201804,100,P8,S9,100,0
S8,C1,201804,40,P7,S8,40,1
S11,C3,201804,19,P10,S11,19,1
S11,C2,201804,19,P10,S11,19,0
S11,C1,201804,3,P10,S11,3,0
S12,C1,201804,"4,440",P11,S66,"4,440",30
S12,C2,201804,"2,468",P11,S66,"2,468",8
S13,C1,201804,"3,650",P12,S68,"3,650",29
S13,C2,201804,"1,075",P12,S68,"1,075",19
S12,C3,201804,217,P11,S66,217,35
S13,C3,201804,144,P12,S68,144,1
S17,C2,201804,3,P11,S66,3,3
S18,C2,201804,"1,522",P12,S68,"1,522",0
S20,C5,201804,59,P13,S20,59,0
S18,C1,201804,"4,553",P12,S68,"4,553",29
S18,C3,201804,8,P12,S68,8,0
S19,C3,201804,846,P11,S66,846,13
S20,C1,201804,1,P13,S20,1,1
S20,C3,201804,10,P13,S20,10,8
S21,C3,201804,5,P13,S21,5,4
S21,C2,201804,1,P13,S21,1,3
S22,C5,201804,81,P14,S22,81,0
S23,C5,201804,163,P14,S23,163,0
S22,C3,201804,149,P14,S22,149,10
S23,C3,201804,89,P14,S23,89,8
S22,C2,201804,64,P14,S22,64,9
S23,C2,201804,124,P14,S23,124,1
S22,C1,201804,31,P14,S22,31,22
S23,C1,201804,22,P14,S23,22,3
S24,C3,201804,"1,218",P15,S63,"1,218",13
S24,C1,201804,"6,052",P15,S63,"6,052",21
S1,C1,201804,17,P1,S1,17,1
S4,C1,201804,709,P3,S4,709,2
S5,C1,201804,579,P4,S52,434,1
S6,C1,201804,131,P5,S6,131,0
S7,C1,201804,21,P6,S7,21,2
S9,C1,201804,9,P8,S9,9,2
S25,C1,201804,"1,481",P16,S57,"1,481",3
S26,C1,201804,"1,023",P17,S31,853,7
S27,C1,201804,"1,037",P17,S32,864,8
S28,C1,201804,346,P15,S63,346,19
S1,C2,201804,75,P1,S1,75,1
S6,C2,201804,257,P5,S6,257,9
S9,C2,201804,52,P8,S9,52,1
S10,C2,201804,79,P9,S10,79,0
S3,C2,201804,16,P2,S3,16,1
S7,C2,201804,123,P6,S7,123,4
S29,C2,201804,24,P18,S29,24,3
S30,C2,201804,12,P19,S30,12,1
S31,C2,201804,20,P17,S31,20,1
S1,C3,201804,81,P1,S1,81,1
S2,C3,201804,1,P1,S1,1,0
S3,C3,201804,32,P2,S3,32,2
S3,C1,201804,5,P2,S3,5,0
S4,C3,201804,302,P3,S4,302,2
S5,C3,201804,108,P4,S52,81,1
S5,C2,201804,538,P4,S52,403,3
S7,C3,201804,94,P6,S7,94,1
S9,C3,201804,104,P8,S9,104,1
S10,C3,201804,120,P9,S10,120,1
S10,C1,201804,5,P9,S10,5,1
S26,C3,201804,"1,196",P17,S31,997,19
S26,C2,201804,"1,457",P17,S31,"1,214",6
S31,C1,201804,22,P17,S31,22,4
S27,C3,201804,557,P17,S32,464,2
S27,C2,201804,"1,843",P17,S32,"1,536",7
S30,C3,201804,5,P19,S30,5,0
S30,C1,201804,2,P19,S30,2,0
S29,C3,201804,22,P18,S29,22,0
S29,C1,201804,2,P18,S29,2,1
S25,C3,201804,2,P16,S57,2,0
S28,C2,201804,"1,056",P15,S63,"1,056",8
S25,C2,201804,336,P16,S57,336,1
S33,C2,201804,5,P15,S62,5,0
S35,C3,201804,"1,071",P5,S6,"1,071",10
S36,C3,201804,81,P13,S20,40,4
S36,C1,201804,781,P13,S20,391,0
S37,C1,201804,994,P13,S21,497,2
S34,C3,201804,4,P19,S30,4,0
S34,C2,201804,2,P19,S30,2,0
S1,C5,201805,135,P1,S1,135,0
S3,C5,201805,92,P2,S3,92,0
S4,C2,201805,651,P3,S4,651,1
S4,C5,201805,"10,759",P3,S4,"10,759",0
S5,C5,201805,385,P4,S52,289,0
S6,C5,201805,145,P5,S6,145,0
S7,C5,201805,20,P6,S7,20,0
S8,C3,201805,200,P7,S8,200,0
S8,C5,201805,204,P7,S8,204,0
S8,C2,201805,113,P7,S8,113,2
S9,C5,201805,561,P8,S9,561,0
S8,C1,201805,59,P7,S8,59,1
S11,C3,201805,19,P10,S11,19,0
S11,C5,201805,10,P10,S11,10,0
S11,C2,201805,16,P10,S11,16,0
S11,C1,201805,1,P10,S11,1,1
S12,C1,201805,"10,120",P11,S66,"10,120",19
S12,C2,201805,"5,168",P11,S66,"5,168",9
S38,C3,201805,26,P17,S31,26,0
S13,C1,201805,"8,715",P12,S68,"8,715",3
S12,C3,201805,25,P11,S66,25,12
S13,C3,201805,116,P12,S68,116,2
S39,C3,201805,5,P17,S32,5,6
S18,C2,201805,"2,775",P12,S68,"2,775",22
S20,C5,201805,65,P13,S20,65,0
S18,C1,201805,"4,760",P12,S68,"4,760",11
S18,C3,201805,32,P12,S68,32,0
S19,C3,201805,"1,108",P11,S66,"1,108",13
S20,C3,201805,25,P13,S20,25,8
S21,C3,201805,6,P13,S21,6,4
S21,C2,201805,2,P13,S21,2,2
S22,C5,201805,433,P14,S22,433,0
S23,C5,201805,352,P14,S23,352,0
S22,C3,201805,140,P14,S22,140,11
S23,C3,201805,87,P14,S23,87,5
S22,C2,201805,44,P14,S22,44,14
S23,C2,201805,43,P14,S23,43,1
S22,C1,201805,49,P14,S22,49,31
S23,C1,201805,40,P14,S23,40,3
S24,C3,201805,163,P15,S63,163,2
S24,C1,201805,126,P15,S63,126,1
S1,C1,201805,29,P1,S1,29,0
S4,C1,201805,722,P3,S4,722,3
S5,C1,201805,606,P4,S52,455,2
S6,C1,201805,137,P5,S6,137,0
S7,C1,201805,15,P6,S7,15,1
S9,C1,201805,4,P8,S9,4,1
S25,C1,201805,469,P16,S57,469,1
S26,C1,201805,"1,281",P17,S31,"1,068",6
S27,C1,201805,"1,024",P17,S32,853,5
S28,C1,201805,"2,855",P15,S63,"2,855",16
S22,C4,201805,1,P14,S22,1,0
S23,C4,201805,1,P14,S23,1,0
S19,C4,201805,49,P11,S66,49,0
S13,C4,201805,8,P12,S68,8,0
S6,C4,201805,8,P5,S6,8,0
S29,C4,201805,1,P18,S29,1,0
S1,C4,201805,4,P1,S1,4,0
S8,C4,201805,1,P7,S8,1,0
S5,C4,201805,4,P4,S52,3,0
S7,C4,201805,1,P6,S7,1,0
S9,C4,201805,1,P8,S9,1,0
S20,C4,201805,11,P13,S20,11,0
S1,C2,201805,99,P1,S1,99,1
S6,C2,201805,286,P5,S6,286,11
S9,C2,201805,59,P8,S9,59,1
S10,C2,201805,71,P9,S10,71,3
S3,C2,201805,17,P2,S3,17,1
S7,C2,201805,128,P6,S7,128,4
S29,C2,201805,11,P18,S29,11,2
S30,C2,201805,18,P19,S30,18,0
S1,C3,201805,87,P1,S1,87,2
S3,C3,201805,37,P2,S3,37,5
S3,C1,201805,6,P2,S3,6,1
S4,C3,201805,373,P3,S4,373,1
S5,C3,201805,125,P4,S52,94,1
S5,C2,201805,410,P4,S52,308,2
S6,C3,201805,397,P5,S6,397,5
S7,C3,201805,88,P6,S7,88,1
S9,C3,201805,110,P8,S9,110,1
S10,C3,201805,144,P9,S10,144,1
S10,C1,201805,7,P9,S10,7,1
S31,C3,201805,5,P17,S31,5,4
S26,C3,201805,"1,075",P17,S31,896,13
S26,C2,201805,545,P17,S31,454,6
S31,C1,201805,30,P17,S31,30,4
S27,C3,201805,302,P17,S32,252,0
S27,C2,201805,914,P17,S32,762,5
S30,C3,201805,26,P19,S30,26,0
S29,C3,201805,24,P18,S29,24,1
S29,C1,201805,2,P18,S29,2,1
S33,C3,201805,826,P15,S62,826,6
S28,C2,201805,25,P15,S63,25,7
S25,C2,201805,57,P16,S57,57,1
S33,C2,201805,998,P15,S62,998,10
S35,C3,201805,526,P5,S6,526,6
S36,C1,201805,60,P13,S20,30,0
S37,C1,201805,456,P13,S21,228,0
S34,C3,201805,13,P19,S30,13,0
S34,C2,201805,5,P19,S30,5,1
S34,C1,201805,6,P19,S30,6,2
S25,C4,201805,2,P16,S57,2,0
S26,C4,201805,12,P17,S31,10,0
S27,C4,201805,14,P17,S32,12,0
S28,C4,201805,39,P15,S63,39,0
S1,C5,201806,279,P1,S1,279,0
S3,C5,201806,113,P2,S3,113,0
S4,C2,201806,461,P3,S4,461,2
S4,C5,201806,"13,785",P3,S4,"13,785",0
S5,C5,201806,542,P4,S52,407,0
S6,C5,201806,217,P5,S6,217,0
S7,C5,201806,14,P6,S7,14,0
S8,C3,201806,254,P7,S8,254,1
S8,C5,201806,332,P7,S8,332,0
S8,C2,201806,206,P7,S8,206,3
S9,C5,201806,"1,039",P8,S9,"1,039",0
S10,C5,201806,46,P9,S10,46,0
S8,C1,201806,39,P7,S8,39,6
S11,C3,201806,21,P10,S11,21,0
S11,C5,201806,20,P10,S11,20,0
S11,C2,201806,14,P10,S11,14,0
S11,C1,201806,2,P10,S11,2,0
S12,C1,201806,"6,594",P11,S66,"6,594",26
S12,C2,201806,"3,225",P11,S66,"3,225",5
S38,C3,201806,810,P17,S31,810,15
S13,C1,201806,"10,611",P12,S68,"10,611",36
S12,C3,201806,60,P11,S66,60,5
S13,C3,201806,26,P12,S68,26,1
S38,C2,201806,366,P17,S31,366,12
S38,C1,201806,903,P17,S31,903,7
S39,C2,201806,756,P17,S32,756,25
S39,C1,201806,716,P17,S32,716,6
S39,C3,201806,278,P17,S32,278,1
S19,C2,201806,729,P11,S66,729,2
S18,C2,201806,"2,280",P12,S68,"2,280",1
S20,C5,201806,71,P13,S20,71,0
S18,C1,201806,"1,605",P12,S68,"1,605",1
S18,C3,201806,92,P12,S68,92,1
S19,C3,201806,969,P11,S66,969,8
S20,C1,201806,6,P13,S20,6,7
S20,C3,201806,49,P13,S20,49,7
S20,C2,201806,30,P13,S20,30,2
S21,C3,201806,27,P13,S21,27,4
S21,C2,201806,2,P13,S21,2,2
S22,C5,201806,309,P14,S22,309,0
S23,C5,201806,283,P14,S23,283,0
S22,C3,201806,183,P14,S22,183,9
S23,C3,201806,120,P14,S23,120,10
S22,C2,201806,33,P14,S22,33,14
S23,C2,201806,30,P14,S23,30,1
S22,C1,201806,26,P14,S22,26,30
S23,C1,201806,23,P14,S23,23,2
S24,C1,201806,15,P15,S63,15,1
S1,C1,201806,26,P1,S1,26,1
S4,C1,201806,"1,055",P3,S4,"1,055",2
S5,C1,201806,693,P4,S52,520,1
S6,C1,201806,154,P5,S6,154,1
S7,C1,201806,18,P6,S7,18,1
S9,C1,201806,16,P8,S9,16,1
S25,C1,201806,"1,741",P16,S57,"1,741",7
S26,C1,201806,308,P17,S31,257,2
S27,C1,201806,182,P17,S32,152,1
S28,C1,201806,"4,626",P15,S63,"4,626",23
S22,C4,201806,2,P14,S22,2,0
S40,C1,201806,"2,584",P11,S66,"2,584",45
S41,C1,201806,254,P16,S57,254,0
S42,C1,201806,223,P12,S68,223,53
S38,C4,201806,3,P17,S31,3,0
S39,C4,201806,33,P17,S32,33,0
S19,C4,201806,33,P11,S66,33,0
S18,C4,201806,10,P12,S68,10,0
S13,C4,201806,49,P12,S68,49,0
S6,C4,201806,28,P5,S6,28,0
S10,C4,201806,4,P9,S10,4,0
S1,C4,201806,4,P1,S1,4,0
S8,C4,201806,4,P7,S8,4,0
S5,C4,201806,1,P4,S52,1,0
S9,C4,201806,3,P8,S9,3,0
S20,C4,201806,13,P13,S20,13,0
S21,C4,201806,1,P13,S21,1,0
S1,C2,201806,92,P1,S1,92,2
S36,C2,201806,68,P13,S20,34,3
S37,C2,201806,69,P13,S21,35,1
S6,C2,201806,310,P5,S6,310,9
S9,C2,201806,199,P8,S9,199,2
S10,C2,201806,50,P9,S10,50,2
S3,C2,201806,31,P2,S3,31,0
S7,C2,201806,111,P6,S7,111,3
S29,C2,201806,19,P18,S29,19,1
S30,C2,201806,7,P19,S30,7,0
S1,C3,201806,76,P1,S1,76,1
S3,C3,201806,33,P2,S3,33,3
S3,C1,201806,6,P2,S3,6,1
S4,C3,201806,279,P3,S4,279,1
S5,C3,201806,117,P4,S52,88,1
S5,C2,201806,425,P4,S52,319,2
S43,C2,201806,61,P15,S62,61,4
S6,C3,201806,"1,111",P5,S6,"1,111",9
S7,C3,201806,83,P6,S7,83,0
S9,C3,201806,107,P8,S9,107,1
S10,C3,201806,143,P9,S10,143,1
S10,C1,201806,10,P9,S10,10,1
S31,C3,201806,16,P17,S31,16,0
S26,C3,201806,481,P17,S31,401,0
S26,C2,201806,551,P17,S31,459,0
S31,C1,201806,45,P17,S31,45,4
S27,C2,201806,243,P17,S32,202,14
S30,C3,201806,27,P19,S30,27,0
S29,C3,201806,27,P18,S29,27,3
S29,C1,201806,2,P18,S29,2,1
S42,C2,201806,745,P12,S68,745,3
S25,C3,201806,2,P16,S57,2,0
S33,C3,201806,"1,147",P15,S62,"1,147",8
S28,C2,201806,70,P15,S63,70,5
S25,C2,201806,56,P16,S57,56,1
S33,C2,201806,"1,107",P15,S62,"1,107",7
S34,C3,201806,6,P19,S30,6,0
S34,C2,201806,41,P19,S30,41,1
S34,C1,201806,21,P19,S30,21,1
S25,C4,201806,12,P16,S57,12,0
S28,C4,201806,109,P15,S63,109,0
S1,C5,201807,30,P1,S1,30,0
S3,C5,201807,191,P2,S3,191,0
S4,C5,201807,"5,684",P3,S4,"5,684",0
S5,C5,201807,546,P4,S52,410,0
S6,C5,201807,247,P5,S6,247,0
S7,C5,201807,18,P6,S7,18,0
S8,C3,201807,263,P7,S8,263,1
S8,C5,201807,391,P7,S8,391,0
S8,C2,201807,57,P7,S8,57,3
S9,C5,201807,144,P8,S9,144,0
S10,C5,201807,76,P9,S10,76,0
S8,C1,201807,41,P7,S8,41,2
S11,C3,201807,23,P10,S11,23,0
S11,C5,201807,30,P10,S11,30,0
S11,C2,201807,15,P10,S11,15,0
S11,C1,201807,4,P10,S11,4,0
S12,C2,201807,-2,P11,S66,-2,3
S38,C3,201807,"1,230",P17,S31,"1,230",17
S13,C1,201807,15,P12,S68,15,2
S12,C3,201807,65,P11,S66,65,10
S13,C3,201807,-1,P12,S68,-1,0
S38,C2,201807,545,P17,S31,545,8
S38,C1,201807,958,P17,S31,958,10
S39,C2,201807,878,P17,S32,878,16
S39,C1,201807,719,P17,S32,719,1
S39,C3,201807,308,P17,S32,308,1
S19,C2,201807,115,P11,S66,115,0
S20,C5,201807,81,P13,S20,81,0
S18,C3,201807,48,P12,S68,48,3
S19,C3,201807,464,P11,S66,464,0
S20,C1,201807,125,P13,S20,125,7
S20,C3,201807,40,P13,S20,40,2
S20,C2,201807,17,P13,S20,17,2
S21,C3,201807,5,P13,S21,5,3
S21,C2,201807,4,P13,S21,4,2
S21,C1,201807,122,P13,S21,122,2
S22,C5,201807,570,P14,S22,570,0
S23,C5,201807,426,P14,S23,426,0
S22,C3,201807,172,P14,S22,172,5
S23,C3,201807,114,P14,S23,114,10
